datetime,Grid Load,non-numerical column,PV Generation
2017-12-28 00:00:00+00:00,5.89,a,0.0
2017-12-28 00:15:00+00:00,5.81,a,0.0
2017-12-28 00:30:00+00:00,5.74,a,0.0
2017-12-28 00:45:00+00:00,5.73,a,0.0
2017-12-28 01:00:00+00:00,5.78,a,0.0
2017-12-28 01:15:00+00:00,5.74,a,0.0
2017-12-28 01:30:00+00:00,5.69,a,0.0
2017-12-28 01:45:00+00:00,5.64,a,0.0
2017-12-28 02:00:00+00:00,5.6,a,0.0
2017-12-28 02:15:00+00:00,5.61,a,0.0
2017-12-28 02:30:00+00:00,5.58,a,0.0
2017-12-28 02:45:00+00:00,5.55,a,0.0
2017-12-28 03:00:00+00:00,5.57,a,0.0
2017-12-28 03:15:00+00:00,5.59,a,0.0
2017-12-28 03:30:00+00:00,5.64,a,0.0
2017-12-28 03:45:00+00:00,5.74,a,0.0
2017-12-28 04:00:00+00:00,5.89,a,0.0
2017-12-28 04:15:00+00:00,6.0,a,0.0
2017-12-28 04:30:00+00:00,6.14,a,0.0
2017-12-28 04:45:00+00:00,6.31,a,0.0
2017-12-28 05:00:00+00:00,6.53,a,0.0
2017-12-28 05:15:00+00:00,6.73,a,0.0
2017-12-28 05:30:00+00:00,6.85,a,0.0
2017-12-28 05:45:00+00:00,6.95,a,0.11
2017-12-28 06:00:00+00:00,7.04,a,0.33
2017-12-28 06:15:00+00:00,7.2,a,0.33
2017-12-28 06:30:00+00:00,7.31,a,0.34
2017-12-28 06:45:00+00:00,7.37,a,0.38
2017-12-28 07:00:00+00:00,7.36,a,0.51
2017-12-28 07:15:00+00:00,7.32,a,
2017-12-28 07:30:00+00:00,7.26,a,
2017-12-28 07:45:00+00:00,7.11,a,
2017-12-28 08:00:00+00:00,6.8,a,
2017-12-28 08:15:00+00:00,6.41,a,
2017-12-28 08:30:00+00:00,5.96,a,
2017-12-28 08:45:00+00:00,5.52,a,
2017-12-28 09:00:00+00:00,5.12,a,
2017-12-28 09:15:00+00:00,4.75,,3.69
2017-12-28 09:30:00+00:00,4.37,,4.08
2017-12-28 09:45:00+00:00,4.02,,4.43
2017-12-28 10:00:00+00:00,3.78,,4.7
2017-12-28 10:15:00+00:00,3.56,,4.97
2017-12-28 10:30:00+00:00,3.34,,5.22
2017-12-28 10:45:00+00:00,3.12,,5.43
2017-12-28 11:00:00+00:00,2.99,,5.58
2017-12-28 11:15:00+00:00,2.76,,5.71
2017-12-28 11:30:00+00:00,2.55,,5.84
2017-12-28 11:45:00+00:00,2.51,,5.87
2017-12-28 12:00:00+00:00,2.72,,
2017-12-28 12:15:00+00:00,2.88,a,
2017-12-28 12:30:00+00:00,3.01,a,
2017-12-28 12:45:00+00:00,3.24,a,5.06
2017-12-28 13:00:00+00:00,3.7,a,4.58
2017-12-28 13:15:00+00:00,4.14,a,4.1
2017-12-28 13:30:00+00:00,4.62,a,3.61
2017-12-28 13:45:00+00:00,5.16,a,3.1
2017-12-28 14:00:00+00:00,,a,2.55
2017-12-28 14:15:00+00:00,,a,2.02
2017-12-28 14:30:00+00:00,6.8,a,1.5
2017-12-28 14:45:00+00:00,7.26,a,1.1
2017-12-28 15:00:00+00:00,7.56,a,0.88
2017-12-28 15:15:00+00:00,7.86,a,0.67
2017-12-28 15:30:00+00:00,8.15,a,0.47
2017-12-28 15:45:00+00:00,8.35,a,0.33
2017-12-28 16:00:00+00:00,8.43,a,0.33
2017-12-28 16:15:00+00:00,8.47,a,0.33
2017-12-28 16:30:00+00:00,8.46,a,0.33
2017-12-28 16:45:00+00:00,8.48,a,0.33
2017-12-28 17:00:00+00:00,8.46,a,0.33
2017-12-28 17:15:00+00:00,8.38,a,0.33
2017-12-28 17:30:00+00:00,8.3,a,0.33
2017-12-28 17:45:00+00:00,8.28,a,0.22
2017-12-28 18:00:00+00:00,8.3,a,0.0
2017-12-28 18:15:00+00:00,8.22,a,0.0
2017-12-28 18:30:00+00:00,8.14,a,0.0
2017-12-28 18:45:00+00:00,8.03,a,0.0
2017-12-28 19:00:00+00:00,7.87,a,0.0
2017-12-28 19:15:00+00:00,7.72,a,0.0
2017-12-28 19:30:00+00:00,7.62,a,0.0
2017-12-28 19:45:00+00:00,7.47,a,0.0
2017-12-28 20:00:00+00:00,7.32,a,0.0
2017-12-28 20:15:00+00:00,7.21,a,0.0
2017-12-28 20:30:00+00:00,7.12,a,0.0
2017-12-28 20:45:00+00:00,7.16,a,0.0
2017-12-28 21:00:00+00:00,7.27,a,0.0
2017-12-28 21:15:00+00:00,7.18,a,0.0
2017-12-28 21:30:00+00:00,7.05,a,0.0
2017-12-28 21:45:00+00:00,6.98,a,0.0
2017-12-28 22:00:00+00:00,6.82,a,0.0
2017-12-28 22:15:00+00:00,6.68,a,0.0
2017-12-28 22:30:00+00:00,6.55,a,0.0
2017-12-28 22:45:00+00:00,6.47,a,0.0
2017-12-28 23:00:00+00:00,6.41,a,0.0
2017-12-28 23:15:00+00:00,6.29,a,0.0
2017-12-28 23:30:00+00:00,6.18,a,0.0
2017-12-28 23:45:00+00:00,6.12,a,0.0
