datetime,Day-Ahead Price,PV Generation,Total Site Load,Grid Load
2017-12-28 00:00:00+00:00,40.16,0.0,5.92,5.92
2017-12-28 00:05:00+00:00,40.16,0.0,5.89,5.89
2017-12-28 00:10:00+00:00,40.16,0.0,5.87,5.87
2017-12-28 00:15:00+00:00,28.36,0.0,5.84,5.84
2017-12-28 00:20:00+00:00,28.36,0.0,5.81,5.81
2017-12-28 00:25:00+00:00,28.36,0.0,5.79,5.79
2017-12-28 00:30:00+00:00,26.59,0.0,5.76,5.76
2017-12-28 00:35:00+00:00,26.59,0.0,5.74,5.74
2017-12-28 00:40:00+00:00,26.59,0.0,5.72,5.72
2017-12-28 00:45:00+00:00,24.88,0.0,5.69,5.69
2017-12-28 00:50:00+00:00,24.88,0.0,5.73,5.73
2017-12-28 00:55:00+00:00,24.88,0.0,5.76,5.76
2017-12-28 01:00:00+00:00,30.9,0.0,5.79,5.79
2017-12-28 01:05:00+00:00,30.9,0.0,5.78,5.78
2017-12-28 01:10:00+00:00,30.9,0.0,5.77,5.77
2017-12-28 01:15:00+00:00,27.02,0.0,5.76,5.76
2017-12-28 01:20:00+00:00,27.02,0.0,5.74,5.74
2017-12-28 01:25:00+00:00,27.02,0.0,5.73,5.73
2017-12-28 01:30:00+00:00,27.47,0.0,5.71,5.71
2017-12-28 01:35:00+00:00,27.47,0.0,5.69,5.69
2017-12-28 01:40:00+00:00,27.47,0.0,5.68,5.68
2017-12-28 01:45:00+00:00,26.58,0.0,5.66,5.66
2017-12-28 01:50:00+00:00,26.58,0.0,5.64,5.64
2017-12-28 01:55:00+00:00,26.58,0.0,5.61,5.61
2017-12-28 02:00:00+00:00,26.09,0.0,5.59,5.59
2017-12-28 02:05:00+00:00,26.09,0.0,5.6,5.6
2017-12-28 02:10:00+00:00,26.09,0.0,5.61,5.61
2017-12-28 02:15:00+00:00,25.42,0.0,5.62,5.62
2017-12-28 02:20:00+00:00,25.42,0.0,5.61,5.61
2017-12-28 02:25:00+00:00,25.42,0.0,5.61,5.61
2017-12-28 02:30:00+00:00,27.42,0.0,5.6,5.6
2017-12-28 02:35:00+00:00,27.42,0.0,5.58,5.58
2017-12-28 02:40:00+00:00,27.42,0.0,5.56,5.56
2017-12-28 02:45:00+00:00,27.49,0.0,5.54,5.54
2017-12-28 02:50:00+00:00,27.49,0.0,5.55,5.55
2017-12-28 02:55:00+00:00,27.49,0.0,5.56,5.56
2017-12-28 03:00:00+00:00,24.06,0.0,5.57,5.57
2017-12-28 03:05:00+00:00,24.06,0.0,5.57,5.57
2017-12-28 03:10:00+00:00,24.06,0.0,5.57,5.57
2017-12-28 03:15:00+00:00,26.14,0.0,5.57,5.57
2017-12-28 03:20:00+00:00,26.14,0.0,5.59,5.59
2017-12-28 03:25:00+00:00,26.14,0.0,5.6,5.6
2017-12-28 03:30:00+00:00,25.9,0.0,5.62,5.62
2017-12-28 03:35:00+00:00,25.9,0.0,5.64,5.64
2017-12-28 03:40:00+00:00,25.9,0.0,5.67,5.67
2017-12-28 03:45:00+00:00,28.14,0.0,5.69,5.69
2017-12-28 03:50:00+00:00,28.14,0.0,5.74,5.74
2017-12-28 03:55:00+00:00,28.14,0.0,5.8,5.8
2017-12-28 04:00:00+00:00,19.45,0.0,5.85,5.85
2017-12-28 04:05:00+00:00,19.45,0.0,5.89,5.89
2017-12-28 04:10:00+00:00,19.45,0.0,5.92,5.92
2017-12-28 04:15:00+00:00,25.0,0.0,5.96,5.96
2017-12-28 04:20:00+00:00,25.0,0.0,6.0,6.0
2017-12-28 04:25:00+00:00,25.0,0.0,6.05,6.05
2017-12-28 04:30:00+00:00,30.8,0.0,6.09,6.09
2017-12-28 04:35:00+00:00,30.8,0.0,6.14,6.14
2017-12-28 04:40:00+00:00,30.8,0.0,6.19,6.19
2017-12-28 04:45:00+00:00,38.72,0.0,6.24,6.24
2017-12-28 04:50:00+00:00,38.72,0.0,6.31,6.31
2017-12-28 04:55:00+00:00,38.72,0.0,6.38,6.38
2017-12-28 05:00:00+00:00,18.97,0.0,6.45,6.45
2017-12-28 05:05:00+00:00,18.97,0.0,6.53,6.53
2017-12-28 05:10:00+00:00,18.97,0.0,6.61,6.61
2017-12-28 05:15:00+00:00,33.67,0.0,6.68,6.68
2017-12-28 05:20:00+00:00,33.67,0.0,6.73,6.73
2017-12-28 05:25:00+00:00,33.67,0.0,6.77,6.77
2017-12-28 05:30:00+00:00,42.0,0.0,6.81,6.81
2017-12-28 05:35:00+00:00,42.0,0.0,6.85,6.85
2017-12-28 05:40:00+00:00,42.0,0.0,6.89,6.89
2017-12-28 05:45:00+00:00,45.0,0.0,6.93,6.93
2017-12-28 05:50:00+00:00,45.0,0.11,7.06,6.95
2017-12-28 05:55:00+00:00,45.0,0.22,7.18,6.96
2017-12-28 06:00:00+00:00,26.93,0.33,7.31,6.98
2017-12-28 06:05:00+00:00,26.93,0.33,7.37,7.04
2017-12-28 06:10:00+00:00,26.93,0.33,7.43,7.09
2017-12-28 06:15:00+00:00,40.55,0.33,7.48,7.15
2017-12-28 06:20:00+00:00,40.55,0.33,7.53,7.2
2017-12-28 06:25:00+00:00,40.55,0.33,7.58,7.24
2017-12-28 06:30:00+00:00,44.25,0.33,7.62,7.29
